Iteration   17900, MSE = 0.00008
Iteration   18000, MSE = 0.00008
Iteration   18100, MSE = 0.00007
Iteration   18200, MSE = 0.00007
Iteration   18300, MSE = 0.00007
Iteration   18400, MSE = 0.00007
Iteration   18500, MSE = 0.00007
Iteration   18600, MSE = 0.00007
Iteration   18700, MSE = 0.00007
Iteration   18800, MSE = 0.00007
Iteration   18900, MSE = 0.00007
Iteration   19000, MSE = 0.00007
Iteration   19100, MSE = 0.00007
Iteration   19200, MSE = 0.00007
Iteration   19300, MSE = 0.00007
Iteration   19400, MSE = 0.00007
Iteration   19500, MSE = 0.00007
Iteration   19600, MSE = 0.00007
Iteration   19700, MSE = 0.00007
Iteration   19800, MSE = 0.00007
Iteration   19900, MSE = 0.00007
Iteration   20000, MSE = 0.00007
Iteration   20100, MSE = 0.00007
Iteration   20200, MSE = 0.00007
Iteration   20300, MSE = 0.00006
Iteration   20400, MSE = 0.00006
Iteration   20500, MSE = 0.00006
Iteration   20600, MSE = 0.00006
Iteration   20700, MSE = 0.00006
Iteration   20800, MSE = 0.00006
Iteration   20900, MSE = 0.00006
Iteration   21000, MSE = 0.00006
Iteration   21100, MSE = 0.00006
Iteration   21200, MSE = 0.00006
Iteration   21300, MSE = 0.00006
Iteration   21400, MSE = 0.00006
Iteration   21500, MSE = 0.00006
Iteration   21600, MSE = 0.00006
Iteration   21700, MSE = 0.00006
Iteration   21800, MSE = 0.00006
Iteration   21900, MSE = 0.00006
Iteration   22000, MSE = 0.00006
Iteration   22100, MSE = 0.00006
Iteration   22200, MSE = 0.00006
Iteration   22300, MSE = 0.00006
Iteration   22400, MSE = 0.00006
Iteration   22500, MSE = 0.00006
Iteration   22600, MSE = 0.00006
Iteration   22700, MSE = 0.00006
Iteration   22800, MSE = 0.00006
Iteration   22900, MSE = 0.00006
Iteration   23000, MSE = 0.00006
Iteration   23100, MSE = 0.00006
Iteration   23200, MSE = 0.00005
Iteration   23300, MSE = 0.00005
Iteration   23400, MSE = 0.00005
Iteration   23500, MSE = 0.00005
Iteration   23600, MSE = 0.00005
Iteration   23700, MSE = 0.00005
Iteration   23800, MSE = 0.00005
Iteration   23900, MSE = 0.00005
Iteration   24000, MSE = 0.00005
Iteration   24100, MSE = 0.00005
Iteration   24200, MSE = 0.00005
Iteration   24300, MSE = 0.00005
Iteration   24400, MSE = 0.00005
Iteration   24500, MSE = 0.00005
Iteration   24600, MSE = 0.00005
Iteration   24700, MSE = 0.00005
Iteration   24800, MSE = 0.00005
Iteration   24900, MSE = 0.00005
Iteration   25000, MSE = 0.00005
Iteration   25100, MSE = 0.00005
Iteration   25200, MSE = 0.00005
Iteration   25300, MSE = 0.00005
Iteration   25400, MSE = 0.00005
Iteration   25500, MSE = 0.00005
Iteration   25600, MSE = 0.00005
Iteration   25700, MSE = 0.00005
Iteration   25800, MSE = 0.00005
Iteration   25900, MSE = 0.00005
